Account,Sub Account,Realized,LastYear,OrderAccount,Company
(+) Gross Revenue,Goods Sold,8947550.61,8532917.23,0,Drug Store
(+) Gross Revenue,Services Rendered,5595943.95,4817807.1,0,Drug Store
(-) Deductions,Discounts,-268938.04,-250060.55,1,Drug Store
(-) Deductions,Goods and Services Tax,-652593.29,-606786.0,1,Drug Store
(-) Deductions,Social Contribution on Net Income,-564142.24,-524543.57,1,Drug Store
(-) Deductions,Social Integration Program,-194288.78,-180651.12,1,Drug Store
(=) Net Revenue,Net Revenue,12863532.21,11788683.09,2,Drug Store
(-) Cost of Goods/Services,Production Cost,-1349994.76,-1254205.93,3,Drug Store
(-) Cost of Goods/Services,Freight/Packaging and Other Costs,-177842.32,-164874.53,3,Drug Store
(-) Cost of Goods/Services,Goods Used as Inputs,-3365311.96,-3194742.82,3,Drug Store
(=) Gross Profit,Gross Profit,7970383.17,7174859.81,4,Drug Store
(-) Personnel Expenses,Uniforms,-3200.0,-8400.0,5,Drug Store
(-) Personnel Expenses,Courses and Training,-94240.0,-48000.0,5,Drug Store
(-) Personnel Expenses,Medical and Dental Assistance,-342370.49,-326070.13,5,Drug Store
(-) Personnel Expenses,Transportation,-128540.37,-411780.12,5,Drug Store
(-) Personnel Expenses,Vacation,-480103.66,-467002.58,5,Drug Store
(-) Personnel Expenses,Severance Pay Fund,-738860.71,-648120.9,5,Drug Store
(-) Personnel Expenses,Social Security Contribution,-222661.29,-212058.37,5,Drug Store
(-) Personnel Expenses,Pro-labor,-275048.4,-250044.0,5,Drug Store
(-) Personnel Expenses,Salaries and Wages,-1313696.17,-1243738.25,5,Drug Store
(-) Personnel Expenses,Labor Indemnities,-50470.07,-46300.34,5,Drug Store
(-) Administrative Expenses,Snacks and Meals,-23458.72,-19487.12,6,Drug Store
(-) Administrative Expenses,Miscellaneous,-7244.12,-10756.95,6,Drug Store
(-) Administrative Expenses,Various Taxes,-2700.95,-2500.64,6,Drug Store
(-) Administrative Expenses,Urban Property Tax,-22413.57,-21760.75,6,Drug Store
(-) Administrative Expenses,Legal Fees Services,-17533.56,-16541.09,6,Drug Store
(-) Administrative Expenses,Third-Party Services,-12260.9,-28549.47,6,Drug Store
(-) Administrative Expenses,Water and Sewage,-17981.51,-16649.55,6,Drug Store
(-) Administrative Expenses,Accounting Services,-124031.88,-118125.6,6,Drug Store
(-) Administrative Expenses,Low-Value Assets,-7500.0,-8000.0,6,Drug Store
(-) Administrative Expenses,Consumables,-12500.62,-11000.71,6,Drug Store
(-) Administrative Expenses,Electricity,-102100.75,-92053.76,6,Drug Store
(-) Administrative Expenses,Office Supplies,-10209.1,-9281.0,6,Drug Store
(-) IT Expenses,IT Services,-9670.54,-9298.6,7,Drug Store
(-) IT Expenses,Consultancy Services,-170111.11,-189142.56,7,Drug Store
(-) IT Expenses,Insurance Premiums,-20866.8,-18798.92,7,Drug Store
(-) IT Expenses,Softwares,-16050.24,-15071.66,7,Drug Store
(-) IT Expenses,Telephone and Internet,-54560.66,-49153.75,7,Drug Store
(-) IT Expenses,Various Software,-29302.24,-26631.7,7,Drug Store
(-) Marketing and Sales Expenses,Sales Expenses,-456412.21,-412124.32,8,Drug Store
(-) Marketing and Sales Expenses,Advertising and Publicity,-42370.56,-41136.47,8,Drug Store
(-) Marketing and Sales Expenses,Graphic Services,-8258.25,-7865.0,8,Drug Store
(-) Marketing and Sales Expenses,Events,-352100.12,-289314.54,8,Drug Store
(-) Marketing and Sales Expenses,Hosting (Website and Email),-3812.81,-3466.19,8,Drug Store
(-) General Expenses,Credit Card Expenses,-60477.63,-53997.88,9,Drug Store
(-) General Expenses,Registry Office,-1254.72,-1089.78,9,Drug Store
(-) General Expenses,Associations and Unions,-2277.93,-2148.99,9,Drug Store
(-) General Expenses,Rental of Machines and Equipment,-1390.92,-1230.9,9,Drug Store
(-) General Expenses,Rent and Condominium,-258896.86,-247102.51,9,Drug Store
(-) General Expenses,Travel and Representation,-24821.02,-23639.07,9,Drug Store
(-) General Expenses,Judicial Agreement,-10439.59,-19666.29,9,Drug Store
(-) General Expenses,Maintenance and Repairs,-22282.4,-19895.0,9,Drug Store
(=) EBITDA,Result Before Financial Effect and Tax,2415899.72,1727864.35,10,Drug Store
(+) Financial Charges,Financial Charges,-48314.33,-45153.58,11,Drug Store
(-) Financial Income,Financial Income,54550.12,41714.12,12,Drug Store
(-) Profit Tax,Provision for Income Tax,-597798.43,-445522.31,13,Drug Store
(-) Depreciation / Amortization,Depreciation and Amortization,-119559.69,-89104.46,13,Drug Store
(=) Net Result,Net Result,1704777.39,1189798.12,14,Drug Store
(+) Gross Revenue,Goods Sold,1947550.61,1698123.74,0,Aesthetics
(+) Gross Revenue,Services Rendered,7595943.95,8100103.25,0,Aesthetics
(-) Deductions,Discounts,-238587.36,-251814.43,1,Aesthetics
(-) Deductions,Goods and Services Tax,-475951.59,-488655.56,1,Aesthetics
(-) Deductions,Social Contribution on Net Income,-379735.7,-389871.51,1,Aesthetics
(-) Deductions,Social Integration Program,-184753.98,-189685.38,1,Aesthetics
(=) Net Revenue,Net Revenue,8264465.93,8478200.1,2,Aesthetics
(-) Cost of Goods/Services,Production Cost,-834276.67,-932156.39,3,Aesthetics
(-) Cost of Goods/Services,Freight/Packaging and Other Costs,-114258.8,-119757.2,3,Aesthetics
(-) Cost of Goods/Services,Goods Used as Inputs,-2162120.45,-2166180.13,3,Aesthetics
(=) Gross Profit,Gross Profit,5153810.01,5260106.38,4,Aesthetics
(-) Personnel Expenses,Uniforms,-2055.91,-2956.9,5,Aesthetics
(-) Personnel Expenses,Courses and Training,-60546.61,-62960.28,5,Aesthetics
(-) Personnel Expenses,Medical and Dental Assistance,-219963.63,-229043.57,5,Aesthetics
(-) Personnel Expenses,Transportation,-82583.66,-85567.24,5,Aesthetics
(-) Personnel Expenses,Vacation,-308453.41,-317278.4,5,Aesthetics
(-) Personnel Expenses,Severance Pay Fund,-416846.44,-487822.07,5,Aesthetics
(-) Personnel Expenses,Social Security Contribution,-126524.83,-147601.21,5,Aesthetics
(-) Personnel Expenses,Pro-labor,-176711.04,-182128.93,5,Aesthetics
(-) Personnel Expenses,Salaries and Wages,-751977.67,-517927.0,5,Aesthetics
(-) Personnel Expenses,Labor Indemnities,-32425.63,-34112.04,5,Aesthetics
(-) Administrative Expenses,Snacks and Meals,-14245.14,-16309.18,6,Aesthetics
(-) Administrative Expenses,Miscellaneous,-6307.04,-5622.33,6,Aesthetics
(-) Administrative Expenses,Various Taxes,-2561.73,-2627.98,6,Aesthetics
(-) Administrative Expenses,Urban Property Tax,-15226.55,-15620.34,6,Aesthetics
(-) Administrative Expenses,Legal Fees Services,-13744.17,-12403.98,6,Aesthetics
